# NACA_2410
# Generated polar data using simplified physics model
# Re = 0.070 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.423033   +0.043709    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.380822   +0.041782    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.338581   +0.040215    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.296315   +0.039010    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.254026   +0.038164    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.211718   +0.037555    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.169394   +0.037056    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.127057   +0.036668    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.084710   +0.036391    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.042357   +0.036224    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.036169    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.042357   +0.036224    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.084710   +0.036391    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.127057   +0.036668    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.169394   +0.037056    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.211718   +0.037555    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.254026   +0.038164    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.296315   +0.038885    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.338581   +0.039715    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.380822   +0.040657    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.423033   +0.041709    0.000000    0.000000   0.000000   0.000000
  +5.50   +0.465212   +0.042871    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.507356   +0.044143    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.549461   +0.045526    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.591525   +0.047018    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.633543   +0.048620    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.675513   +0.050332    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.717432   +0.052154    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.759295   +0.054084    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.801102   +0.056124    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.842847   +0.058273    0.000000    0.000000   0.000000   0.000000
 +10.50   +0.884528   +0.060530    0.000000    0.000000   0.000000   0.000000
 +11.00   +0.926141   +0.062896    0.000000    0.000000   0.000000   0.000000
 +11.50   +0.967684   +0.065371    0.000000    0.000000   0.000000   0.000000
 +12.00   +1.009154   +0.067953    0.000000    0.000000   0.000000   0.000000
 +12.50   +1.050546   +0.070643    0.000000    0.000000   0.000000   0.000000
 +13.00   +1.091859   +0.073441    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.133088   +0.076345    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.174231   +0.079357    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.215168   +0.082723    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.221145   +0.085831    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.229781   +0.089580    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.240834   +0.093966    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.254073   +0.098984    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.269285   +0.104630    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.286268   +0.110901    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.304839   +0.117795    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.324827   +0.125308    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.346076   +0.133438    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.368444   +0.142183    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.391800   +0.151540    0.000000    0.000000   0.000000   0.000000
