# NACA_2415
# Generated polar data using simplified physics model
# Re = 0.050 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.381506   +0.054421    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.343438   +0.052558    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.305344   +0.051048    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.267227   +0.049892    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.229089   +0.049091    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.190935   +0.048518    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.152765   +0.048049    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.114584   +0.047684    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.076394   +0.047424    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.038199   +0.047268    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.047216    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.038199   +0.047268    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.076394   +0.047424    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.114584   +0.047684    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.152765   +0.048049    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.190935   +0.048518    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.229089   +0.049091    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.267227   +0.049767    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.305344   +0.050548    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.343438   +0.051433    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.381506   +0.052421    0.000000    0.000000   0.000000   0.000000
  +5.50   +0.419544   +0.053513    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.457551   -0.045755    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.495523   +0.056009    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.533457   +0.057411    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.571350   +0.058918    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.609200   +0.060527    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.647004   +0.062239    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.684758   +0.064055    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.722461   +0.065973    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.760108   +0.067993    0.000000    0.000000   0.000000   0.000000
 +10.50   +0.797697   +0.070116    0.000000    0.000000   0.000000   0.000000
 +11.00   +0.835225   +0.072342    0.000000    0.000000   0.000000   0.000000
 +11.50   +0.872690   +0.074669    0.000000    0.000000   0.000000   0.000000
 +12.00   +0.910089   +0.077098    0.000000    0.000000   0.000000   0.000000
 +12.50   +0.947418   +0.079629    0.000000    0.000000   0.000000   0.000000
 +13.00   +0.984675   +0.082262    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.021857   +0.084995    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.058961   +0.087830    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.095985   +0.091015    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.116452   +0.094430    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.122551   +0.098104    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.131004   +0.102407    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.141589   +0.107335    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.154096   +0.112885    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.168332   +0.119053    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.184118   +0.125837    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.201287   +0.133234    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.219689   +0.141242    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.239185   +0.149859    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.259649   +0.159083    0.000000    0.000000   0.000000   0.000000
